case_id,category,severity,symptom,topology_note,show_output,expected_fault,osi_layer,concept
C001,VLAN,High,PC1 (VLAN 10) cannot ping PC2 (VLAN 10) on the same switch.,"SW1 access switch, Fa0/1=PC1, Fa0/2=PC2, both should be VLAN10.","show vlan brief
VLAN Name    Status  Ports
1    default  active  Fa0/3,Fa0/4
10   Sales    active  Fa0/1
20   HR       active  Fa0/2",Fa0/2 is assigned to VLAN 20 instead of VLAN 10 (access VLAN misconfigured).,Layer 2,vlan_access_port_mismatch
C002,VLAN,High,All PCs in VLAN 30 lost connectivity to the VLAN 30 server on the other switch.,"SW1---trunk(Gi0/1)---SW2, VLAN30 server hangs off SW2.","show interfaces trunk
Port   Mode  Encapsulation  Status   Native vlan
Gi0/1  on    802.1q         trunking 1

Allowed VLANs on trunk: 1,10,20",VLAN 30 is not included in the allowed VLAN list on the Gi0/1 trunk.,Layer 2,trunk_allowed_vlan_missing
C003,VLAN,Medium,"New VLAN 40 hosts get link light but cannot reach anything, even ARP fails.","SW1, Fa0/5 assigned to vlan 40, but VLAN 40 was never created.","show vlan brief
VLAN Name    Status  Ports
1    default  active  Fa0/1-4

show running-config interface fa0/5
interface FastEthernet0/5
 switchport access vlan 40
 switchport mode access","VLAN 40 does not exist in the VLAN database, so the port is inactive for that VLAN.",Layer 2,vlan_not_created
C004,VLAN,Low,CDP native VLAN mismatch warning appears on SW1 and SW2 console.,Trunk link between SW1 and SW2 Gi0/2.,"%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/2 (1), with Switch2 GigabitEthernet0/2 (99).",Native VLAN on Gi0/2 is set to VLAN 1 on SW1 but VLAN 99 on SW2.,Layer 2,native_vlan_mismatch
C005,VLAN,High,"PC in VLAN 30 gets an IP from DHCP but cannot reach anything, including its own gateway.","SW1 Fa0/6 access vlan 30, trunk to distribution switch carries only vlan 1,10,20.","show interfaces trunk
Allowed VLANs on trunk: 1,10,20

show vlan brief
VLAN 30   Sales30   active   Fa0/6","VLAN 30 exists locally but is pruned from the uplink trunk, isolating the VLAN from the rest of the network.",Layer 2,trunk_allowed_vlan_missing
C006,Gateway,High,"PC1 can ping other devices in its own subnet but cannot reach anything outside, including the gateway.","PC1 192.168.10.10/24, router SVI 192.168.10.1.","PC> ipconfig
IP Address: 192.168.10.10
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.10.254

PC> ping 192.168.10.1
Request timed out.",Default gateway configured on PC1 (192.168.10.254) does not match the router's actual interface IP (192.168.10.1).,Layer 3,wrong_default_gateway
C007,Gateway,Critical,PC gets an IP but 'gateway ping works' intermittently fails and inter-VLAN routing is completely down.,"L3 switch, VLAN10 SVI should route between VLAN10 and VLAN20.","show ip interface brief
Interface              IP-Address      Status                Protocol
Vlan10                 192.168.10.1    administratively down up",The Vlan10 SVI (default gateway for VLAN10) is administratively shut down.,Layer 3,svi_interface_down
C008,Gateway,High,Two PCs on the same subnet have intermittent connectivity and IP conflict warnings.,PC1 and the router's gateway interface share the same IP by mistake.,"PC> ipconfig
IP Address: 192.168.10.1

%SYS-3-DUPADDR: Duplicate address 192.168.10.1 on FastEthernet0/0","PC1 is statically configured with the same IP address as the router's gateway interface, causing a duplicate IP conflict.",Layer 3,duplicate_ip_gateway
C009,Gateway,Medium,PC can reach some hosts in the same building but times out reaching the gateway and everything beyond it.,PC configured with /25 mask while the rest of the subnet uses /24.,"PC> ipconfig
IP Address: 192.168.10.140
Subnet Mask: 255.255.255.128
Default Gateway: 192.168.10.1","PC subnet mask (/25) places it in a different subnet than the gateway (192.168.10.1 is in the 192.168.10.0/25 half but .140 falls in the second /25 block), so the gateway is unreachable.",Layer 3,wrong_subnet_mask
C010,DHCP,High,New PCs in VLAN 20 fail to get an IP address; older PCs still work fine.,Router-on-a-stick doing DHCP for VLAN20 pool of only 5 addresses.,"show ip dhcp pool VLAN20
Pool VLAN20 :
 Utilization mark (high/low)    : 100 / 0
 Total addresses                : 5
 Leased addresses               : 5
 Excluded addresses             : 1","The DHCP pool for VLAN20 is exhausted (5 of 5 addresses leased), so new clients cannot obtain an address.",Layer 3/DHCP,dhcp_pool_exhausted
